,filename,genotype,before_start,before_end,after_start,after_end,arret
4,"20160128_del1_physo0-33_i5_e60_ep30.npy",del1,14000,1798000,2054000,6038000,fin
5,"20160121_del1_physo0-33_i5_e60_ep30.npy",del1,20000,2396000,2676000,5220000,mort
6,"20151207_wt#31_physo0-33_i5_e60_ep30.npy",wt,20000,1036000,2000000,6006000,fin
7,"20151209_wt#68_physo0-33_i5_e60_ep30.npy",wt,40000,2398000,2620000,6004000,fin
